product_id,screen_inch,screen_resolution,screen_frequency_Hz,card_screen,core,core_gen,core_speed,ram,capacity,battery,weight_kg
322949,15.6,Full HD,144.0,RTX 4060 8GB,Ryzen 7,8845HS,3.8GHz,16,512,"3-cell, 53.5Wh",2.25
327506,14.0,Full HD,,Radeon,Ryzen 5,7430U,2.30 GHz,16,1,50 Wh,1.25
327405,14.0,Full HD,,Intel UHD,i5,1235U,1.3GHz,16,512,"3 cell, 41.04 Wh",1.42
302207,15.6,Full HD,,Intel UHD,i3,1215U,1.2GHz,8,256,"3-cell, 41Wh",1.74
322959,13.3,2K,,Intel Arc Graphics,Ultra 7,155H,1.4GHz,32,1,"4-cell Li-ion, 75 Wh",0.99
326863,16.0,Full HD,,Intel Graphics,Core 7,,,16,1,"4-cell, 54Wh",1.98
326577,16.0,2K,120.0,Intel Arc Graphics,Ultra 7,155H,3.8GHz,32,512,57Wh,1.82
327406,15.6,Full HD,,Intel UHD,i5,1335U,1.3GHz,16,512,"3-cell, 51Wh",1.72
322097,15.6,Full HD,144.0,RTX 2050 4GB,Ryzen 5,7535HS,3.3GHz,8,512,"3-cell, 53.5Wh",1.86
325050,14.0,2K,120.0,Intel Arc Graphics,Ultra 5,,,16,512,"4-cell, 65Wh",1.32
306196,15.6,Full HD,,Intel Iris Xe,i9,13900H,2.6GHz,16,512,"3-cell, 50Wh",1.7
325051,14.0,2K,120.0,Intel Arc Graphics,Ultra 7,155H,3.8GHz,16,512,"4-cell, 65Wh",1.32
314840,14.0,Full HD,,Intel Iris Xe,i5,1335U,1.3GHz,8,512,"4-cell, 54Wh",1.58
284343,15.6,Full HD,144.0,RTX 3050Ti 4GB,i5,12450H,2GHz,8,512,"4-cell, 76Wh",2.0
315906,15.6,Full HD,,Intel UHD,i5,1335U,1.3GHz,16,512,"3-cell, 51Wh",1.79
311015,15.6,Full HD,,Radeon,Ryzen 7,7730U,2GHz,16,512,"3-Cell, 39.3 Wh",1.75
327408,15.6,Full HD,,Intel UHD,i7,1355U,1.7GHz,16,512,"3-cell, 51Wh",1.72
318228,14.2,4K,120.0,10 nhân GPU,Apple M3,,100GB/s,8,512,Lên đến 22 giờ,1.55
327097,15.6,Full HD,,Intel Graphics,Ultra 5,125H,1.2GHz,16,512,"3-cell, 41Wh",1.65
325588,14.0,2K,120.0,RTX 4060 8GB,Ultra 7,155H,1.4GHz,32,1,"4-cell, 72Wh",1.7
304259,14.0,2K,90.0,Intel Iris Xe,i7,1360P,2.2GHz,16,512,"4-cell Li-ion, 75 Wh",1.5
326280,15.6,Full HD,144.0,RTX 4070 8GB,Ryzen 7,8845HS,3.8GHz,16,1,"3-cell, 53.5Wh",2.25
322099,15.6,Full HD,144.0,RTX 4050 6GB,Ultra 7,155H,1.4GHz,16,512,"3-cell, 53.5Wh",1.98
